State,BlueRank
Vermont,55.2
Massachusetts,54.1
Maryland,54.5
New York,52.9
Delaware,53.4
Hawaii,49.8
California,50.3
Connecticut,51.1
Illinois,51.5
Rhode Island,50.4
Oregon,48.7
New Jersey,47.8
Washington,47.2
New Mexico,44.4
Michigan,43.7
Minnesota,45.1
Maine,43.6
Pennsylvania,45.2
Wisconsin,43.0
North Carolina,43.2
Florida,42.5
Virginia,42.6
Arizona,41.4
Colorado,42.4
Georgia,41.9
Nevada,41.1
Texas,38.6
New Hampshire,40.7
Louisiana,41.1
Ohio,40.4
Iowa,39.5
Indiana,37.2
Missouri,39.0
Alaska,36.9
West Virginia,39.6
Kentucky,39.9
Mississippi,37.7
Tennessee,36.8
South Carolina,36.1
Nebraska,36.2
Arkansas,34.3
Montana,34.7
Kansas,33.9
Alabama,34.8
Oklahoma,34.3
North Dakota,32.1
South Dakota,30.0
Idaho,29.4
Utah,28.6
Wyoming,27.0
